left_hip_anlge,right_hip_anlge,left_knee_anlge,right_knee_anlge,left_ankle_angle_1,left_ankle_angle_2,right_ankle_angle_1,right_ankle_angle_2
190.15136434790304,157.72411195293253,178.34011312583462,214.8644127596865,118.37798582223805,118.37798582223805,136.52758434074488,185.24532508369413
191.3955819975637,158.06247625284428,180.11931866574196,201.10497886307644,117.88727719959428,117.88727719959428,139.54713042391452,184.37384869214907
190.5340140691743,156.86431115212858,182.5937264488646,187.01581125877027,117.95946783615523,117.95946783615523,151.12905892337315,180.99947210746316
191.4172488949453,151.40147755231368,184.0981402756914,185.46550875326207,116.54055654464157,116.54055654464157,140.35619495822604,178.81675699551673
193.16385717402727,145.64787316935653,187.91999592913683,193.61614735592065,114.86372226255025,114.86372226255025,136.6396595826938,178.83279905266335
197.52510630441128,145.63651914396291,190.71236650654217,196.87992029393578,112.0979854963965,112.0979854963965,138.78380084930194,178.63265872796637
200.88037633862066,150.64283114606633,195.2268328118429,198.3197977485518,114.1009853750472,114.1009853750472,137.44872584826643,181.04293632380492
201.90697684845276,150.86688595930167,203.68436089408866,205.9659937258327,116.3633518521128,116.3633518521128,138.2896126596092,182.51428643090844
199.78234568087197,151.75597806676677,205.02451156285704,210.52212825959325,117.20881859505725,117.20881859505725,153.66033326632692,200.62280406609653
200.28866201340267,160.15487364060436,197.27571747855788,213.07935063903835,116.70497512776973,116.70497512776973,135.64265734156717,183.86531422348867
192.35939450800143,167.41162821427952,214.34111617156015,208.03589635630232,120.82382441463011,120.82382441463011,124.70722427727421,177.32635959485435
182.0802189286826,168.25291091664604,209.08500549429965,197.6921673364942,108.97672415194909,108.97672415194909,116.69931732247673,175.79437703700316
180.75262242106555,165.61910570346197,202.62304065487223,209.05499245484495,107.30256804914983,107.30256804914983,112.99724458060668,179.2776730384355
179.4268198140224,167.7435805273212,189.64580518578427,205.72582580566794,106.52822020171935,106.52822020171935,109.27413030814584,175.227666022999
172.59588777775932,176.4793153612885,183.18865141477568,198.22307310066182,115.94801034196419,115.94801034196419,112.67301281768557,173.32676490546447
169.76886097980517,175.11830315096302,170.7986097653367,196.39096155755436,121.04386908455709,121.04386908455709,116.56077997240396,173.64506870894994
165.42415544243454,177.37747646817795,173.22808344478548,194.09631723163687,118.07007215246524,118.07007215246524,114.92300193344882,174.18964175855712
161.18986965605845,177.76270716680813,180.8360078231656,198.1693638067569,114.25318640939193,114.25318640939193,113.40571174639021,174.82028244893993
159.90546612949265,177.90108925213232,191.85515741908756,208.32559434457616,108.8193219329832,108.8193219329832,120.1356278578934,176.33409653290374
160.63152257283033,176.46608580495578,198.27852093742143,217.43740700340422,110.94842115790873,110.94842115790873,127.50127873644438,177.96760175411504
161.58022597475187,173.96704176757788,204.80118304082305,224.5231018865135,113.17665764093577,113.17665764093577,138.7280789562716,180.59663404223076
162.63060337296173,170.1868373360385,206.15458283006998,230.29195068429303,112.684299223157,112.684299223157,142.59161433968166,181.39149528918907
170.18387007363322,165.4533330181962,204.50185609901894,240.84816376008052,118.6123797856551,118.6123797856551,135.31262328724867,175.4728766838702
188.8390008399158,158.07381496010032,201.55074821172477,234.93343007818646,111.57773164179228,111.57773164179228,125.91318956677252,179.47277467293347
187.44374938799268,160.5664317883291,189.91799184479126,230.8463102989297,120.037194148766,120.037194148766,128.5214171673789,181.77626840398662
182.33742699282817,166.21234328395425,198.00567203625843,214.48266302913007,115.6488903913649,115.6488903913649,119.89527117260951,177.20028090652784
189.05867373302664,162.21532303122743,178.86197496538216,212.6822170096632,117.49168636474056,117.49168636474056,130.11015873727308,184.01257888280676
191.6079562348309,161.93577207224382,178.66448974967398,203.83002980039865,119.01126730797023,119.01126730797023,137.21635907800274,185.22048136239036
191.20710264854497,161.88421908270192,181.14998070664382,191.0415049610819,119.58962155424203,119.58962155424203,140.78932012978152,183.41985492569583
189.3850528917448,156.53427719605818,182.4470960991202,183.9287826916004,120.77116709991544,120.77116709991544,149.0362234895043,180.26700933513635
190.31664784527212,152.49132299511885,186.04056266546618,187.33052817527306,118.28296956635751,118.28296956635751,141.70682871427755,179.28504385437972
194.39347219898752,151.40979062491814,188.33387070216318,193.76121414099183,118.96346327958774,118.96346327958774,140.03991478144826,180.7314131334856
199.1147140813401,151.56501579496515,189.62833328626445,199.33203899034615,117.30442581536606,117.30442581536606,140.24760695376412,182.18362479021664
202.71609525361015,151.44728716376318,191.5732101532849,206.23788519381944,119.0756196396051,119.0756196396051,141.700667143298,184.311917564086
202.194018152148,152.49002705048696,199.45091362258037,209.06663870938957,122.01894005937187,122.01894005937187,139.15491044479052,175.477147628501
198.83948923059455,157.3516765101108,197.45359541543914,212.4190790708096,119.69034080773848,119.69034080773848,137.0486976175816,179.57036887526982
187.92515380361084,166.0243380199245,216.0561993691026,207.8541648060796,126.7711938578023,126.7711938578023,126.20751549156103,175.38323198693797
185.19185063451863,167.88949978983086,212.65307096411888,197.01596354033356,120.07749361355467,120.07749361355467,126.22856669308156,176.42544232707348
175.57780851590252,169.67200874938064,222.77338865891514,199.42246519827435,113.44190514982368,113.44190514982368,115.00869789274799,174.40137496268557
170.54632540164815,168.91945742468943,208.29590035480393,195.35182247407448,114.81161654020323,114.81161654020323,115.485482570335,174.98860026579757
171.18562930744082,170.5105924476585,194.32256964800683,193.42547173961088,110.76368581434693,110.76368581434693,111.77050851011576,173.2640585837448
165.44529937825746,172.7657823484536,185.0977023898127,193.81833084716138,117.37819007870996,117.37819007870996,111.6903315958471,172.37166133796828
167.92302259277935,174.10326106953886,172.9187007594101,195.63169226375433,121.64478370899064,121.64478370899064,114.72916379944459,173.2589395524274
165.80066727517385,174.3276777428753,167.20954253467477,198.09220823910434,110.97050910393855,110.97050910393855,113.57589756855603,173.7672592247503
166.48749171179065,170.25357490154607,171.3249523031038,203.59844670458222,112.57056233603697,112.57056233603697,118.32669372182869,176.8908688199399
168.68817010868742,174.0691585142508,175.45863369257842,214.49037486456504,109.17787444605644,109.17787444605644,117.5256219741092,175.90542418259398
167.894071159008,177.14535681561597,184.7849032966265,217.1225452855837,108.29336821365776,108.29336821365776,118.02182857922368,175.4773211586952
166.37017035872879,177.6061757787729,192.35561678916883,220.68377889637918,111.91984919911694,111.91984919911694,122.47895149697382,176.53388470109118
168.23730712357425,177.81298540965332,189.7529168051171,225.3610519042958,119.4009477038407,119.4009477038407,130.30447466831043,178.94054426253544
168.5603847729924,174.79641196289026,197.2353547066038,226.95716742724568,117.39675709877291,117.39675709877291,131.78870870073175,178.12454145172126
175.13645163905682,164.95009871811047,193.84054716495388,243.5039137094063,116.02134435344487,116.02134435344487,106.53709575112046,146.174515352217
183.08493349192736,160.29030024216502,194.6623477212877,235.54040080785435,121.3794878594147,121.3794878594147,127.58009620138068,176.790708328668
182.51673749805477,164.21925748158682,190.1909767423707,228.0304919547087,117.28607159624133,117.28607159624133,122.83616078515499,178.64427665281542
181.65359428600348,160.21180756781328,190.75057357061922,223.7891506704657,111.29814796618042,111.29814796618042,116.96190259118363,178.42770818402204
183.48635682840634,155.609667586067,179.23096003895355,224.3793754314337,124.01334669903645,124.01334669903645,140.58809910884727,187.19432981836354
184.44676153362053,152.5460009640602,178.81219048910782,220.10615967921893,121.47979311429684,121.47979311429684,139.93596387293366,186.16004950950014
184.0645043474553,153.24144928784978,180.9949822576674,211.12649787615268,120.63228758256814,120.63228758256814,140.98515234750917,184.89777688887807
183.82826215890623,156.39168634215568,183.63182084217416,197.1334195178443,117.93241669309005,117.93241669309005,144.60903576876154,180.91964399255477
